product_name,actual_price,discount_percentage,brand,rating,rating_count,subcategory,category,category_median_price,brand_avg_price,brand_product_count,manufacturing_cost,brand_tier,product_type,quality_tier,price_to_cost_ratio,price_to_category_median_ratio,price_to_brand_avg_ratio,complexity_score,technology_level,feature_count,price_segment,value_score,brand_strength,premium_index,price_elasticity,estimated_units_sold,seasonal_relevance,is_new_release,rating_x_count,search_term,main_category,discounted_price,price_competitiveness_ratio,profit_margin_ratio,competitor_undercut_potential,is_budget_segment,is_mid_segment,is_premium_segment,customer_attraction_score,feature_to_price_ratio,tech_value_proposition,relative_to_lowest_quartile,value_adjusted_price,category_price_index,demand_indicator,brand_power_price_ratio,new_seller_competitive_price,sustainable_price,ideal_customer_attraction_price,market_penetration_potential,elasticity_adjusted_value
"AGARO Regency Multi Cook Kettle With Steamer, 1.2L Inner Pot, Double Layered Body, Variable Temperature Settings, Wide Mouth, Boiling, Steaming, Tea, Coffee, Egg, Vegetable Boiling, 600W, Sea Green",2499.0,28.0,AGARO,4.0,3203.0,electric kettle,Kitchen Appliances,3142.0,1299.0,5,899.5,mid-range,input_device,1.0,2.0,0.5725652450668364,1.3849114703618168,0.5,1.0,8.0,mid-range,1.3972206781545304,32.28737259843663,0.5725652450668364,0.7142857142857143,96090.0,0.2,0.0,12812.0,electric kettle,Kitchen Appliances,1799.0,1.2167737571863375,2.0,0.44999999999999996,0,1,0,1.3859774415503796,0.0044469149527515284,0.8218454697053919,3.2153708668453977,-714.6000000000003,1.2167737571863375,213.6520289049472,2.6535230898715154,1439.2,989.45,989.45,0.39137834121975645,1.9561089494163426
"Butterfly EKN 1.5 Litre Stainless Steel Electric Kettle | 1500 W | 360� Swivel Power Base | Auto Shut Off | For Hot Water, Tea, Coffee, Noodles | Dry Boil Protection |",1299.0,46.2,Butterfly,4.1,45194.0,electric kettle,Kitchen Appliances,3142.0,699.0,1,349.5,mid-range,input_device,1.0,2.0,0.2224697644812221,1.0,0.5,1.0,8.0,budget,3.685894134477825,43.94675041594987,0.2224697644812221,0.4329004329004329,1355820.0,0.2,0.0,185295.4,electric kettle,Kitchen Appliances,699.0,0.472776462631045,2.0,0.44999999999999996,0,1,0,4.2622856521789005,0.011444921316165951,2.1151645207439196,1.2493297587131367,-1877.4399999999998,0.472776462631045,5230.625816053012,9.295460728180526,559.2,384.45000000000005,475.575,1.702491517079827,8.514415450643776
"Kaff KMW HN6 BLK Built-in Microwave Oven for Kitchen, 28 Litre with Touch Control | Microwave, Grill, Defrost & Combination Programming Mode (Black)",43990.0,23.4,Kaff,3.1,18.0,microwave oven,Kitchen Appliances,1749.0,33700.0,1,16850.0,mid-range,input_device,1.0,2.0,19.268153230417383,1.0,0.5,1.0,8.0,premium,0.0321774480712166,8.96015244947811,19.268153230417383,0.8547008547008548,540.0,0.2,0.0,55.8,microwave oven,Kitchen Appliances,33700.0,11.541433885694966,2.0,0.45,0,0,1,-5.176948663368513,0.0004688765927808816,0.08665425530331668,30.49867739052727,15827.760000000004,11.541433885694966,0.04967359050445104,0.03931034242300708,13651.208000000008,9385.205500000005,9385.205500000005,0.007526845661578058,0.03764761424332342
Prestige Iris Plus 1600 Watts Induction Cooktop with Automatic Voltage Regulator | Indian Menu Option |Anti-Magnetic Wall | Timer with User Pre-set | 1 Year Warranty | Black,3195.0,53.1,Prestige,3.9,4933.0,induction cooktop,Kitchen Appliances,2011.19,3460.75,8,749.5,mid-range,input_device,1.0,2.0,0.7453298793251756,0.4331431048183197,0.5,1.0,8.0,mid-range,1.046516477651768,33.16444014481158,0.7453298793251756,0.3766478342749529,147990.0,0.2,0.0,19238.7,induction cooktop,Kitchen Appliances,1499.0,1.0138654041258033,2.0,0.44999999999999996,0,1,0,1.1529484745039613,0.00533689126084056,0.9863242161440959,2.679177837354781,-69.72820000000011,1.0138654041258033,385.0306871247498,3.271089042968907,1199.2,824.45,824.45,0.5555217358677302,2.778501248165444
"PCSJRKG Coffee Printed Coffee Maker Cover with Top Handle, Foldable Large Appliances Cover Dustproof Washable Protective Cover Fits Kitchen Bar Home Dining Room, Large Size",3434.76,49.6,PCSJRKG,4.0,1.0,coffee maker,Kitchen Appliances,1142.0,3434.76,1,1717.38,mid-range,input_device,1.0,2.0,3.0076707530647986,1.0,0.5,1.0,8.0,premium,0.2659865609241985,0.0,3.0076707530647986,0.5,30.0,0.2,0.0,4.0,coffee maker,Kitchen Appliances,3434.76,2.3231383158606698,2.0,0.45,0,0,1,-0.8955825970061364,0.0023291292550280075,0.43045220044486365,6.138981233243968,2521.1600000000003,2.3231383158606698,0.034936938825420115,0.0,2747.8080000000004,1889.1180000000002,1889.1180000000002,0.0,0.531973121848397
"1.5 Litre Electric Cooker | Rice, Food Steamer, Travel, Slow, Pressure Cooker | Stainless Steel Lid | Cool Touch Handles | Detachable Power Cord | Pink",1999.0,71.6,1.5,0.0,0.0,slow cooker,Kitchen Appliances,2889.0,567.0,1,283.5,mid-range,input_device,1.0,2.0,0.1962616822429906,1.0,0.5,1.0,8.0,budget,0.0,0.0,0.1962616822429906,0.2793296089385475,0.0,0.2,0.0,0.0,slow cooker,Kitchen Appliances,567.0,0.3834967872844099,2.0,0.44999999999999996,0,1,0,-0.19174839364220495,0.014109347442680775,2.6075837742504406,1.0134048257372654,567.0,0.3834967872844099,0.0,0.0,453.6,311.85,475.575,0.0,0.0
"Haden Stainless Steel Slow Cooker with Timer - 3.5 Litres, 3 Heat Settings (Warm, Low, High) - Power Light Indicator, Oven-Safe Ceramic Pot, Dishwasher Safe - Glass Lid for Easy Viewing, (Silver)",4799.0,25.0,Haden,4.2,115.0,slow cooker,Kitchen Appliances,2889.0,3599.0,1,1799.5,mid-range,input_device,1.0,2.0,1.245759778470059,1.0,0.5,1.0,8.0,mid-range,0.6742873020283412,19.92871493912565,1.245759778470059,0.8,3450.0,0.2,0.0,483.0,slow cooker,Kitchen Appliances,3599.0,2.4342238755495433,2.0,0.4499999999999999,0,0,1,-0.17425003641571069,0.0022228396776882466,0.4108085579327591,6.432529043789097,1172.24,2.4342238755495433,4.026118366212837,0.8186886645595243,2879.2000000000003,1979.4500000000003,1979.4500000000003,0.16860695195540934,0.8428591275354265
"NABAAT Transparent Waterproof Cold Press Juicer / Slow Juicer Dust Cover for all types of Juicer like Agaro / Kuving / Hestia, Kitchen Standard Size, Transparent (8”X 10”X 19”)",699.0,45.8,NABAAT,3.0,2.0,juicer,Kitchen Appliances,1399.0,362.25,4,189.5,mid-range,input_device,1.0,2.0,0.2709077912794853,1.04623878536922,0.5,1.0,8.0,budget,2.214775725593668,2.079441541679836,0.2709077912794853,0.4366812227074236,60.0,0.2,0.0,6.0,juicer,Kitchen Appliances,379.0,0.2563408860331417,2.0,0.44999999999999996,1,0,0,2.12506382520754,0.021108179419525065,3.901055408970976,0.677390527256479,-460.40000000000026,0.2563408860331417,0.47493403693931396,0.811201667380907,303.2,208.45000000000002,475.575,1.0139173564949553,5.0718364116095
SHETAPRIDE Grinder Machine for Kitchen Mixer Grinder Multi Functional Coffee Herbs Spices Nuts Grain Seasonings Spices Mill Powder Machine Stainless Steel Mixie for Kitchen (Mixer_Grinder_200),1199.0,58.3,WD,4.4,6.0,mixer grinder,Kitchen Appliances,2099.0,538.396,5,249.99,mid-range,input_device,1.0,2.0,0.2381991424487851,0.9286473153589552,0.5,1.0,8.0,budget,3.6943877755110206,7.883741664603442,0.2381991424487851,0.3430531732418525,180.0,0.2,0.0,26.4,mixer grinder,Kitchen Appliances,499.98,0.3381670612106865,2.0,0.44999999999999996,1,0,0,3.671111284352728,0.016000640025601025,2.957118284731389,0.8936193029490617,-1347.14,0.3381670612106865,1.5840633625345015,2.3313156628497516,399.98400000000004,274.98900000000003,475.575,2.1538373167954243,10.769140365614623
"Enakshi (LABEL) Creations Portable Electric Water Kettle 600ml Travel Kettle for Hotel Picnic Auto Car OrangeHome & Garden|Kitchen, Dining & Bar|Small Kitchen Appliances|Coffee & Tea Makers|Tea",15499.0,47.1,Enakshi,0.0,0.0,electric kettle,Kitchen Appliances,3142.0,4597.117647058823,17,4098.5,mid-range,input_device,1.0,2.0,2.6088478676002547,1.7830737930416758,0.5,1.0,8.0,premium,0.0,0.0,2.6088478676002547,0.4246284501061571,0.0,0.2,0.0,0.0,electric kettle,Kitchen Appliances,8197.0,5.544132566790666,2.0,0.44999999999999996,0,0,1,-2.772066283395333,0.0009759668171282176,0.18037086739050873,14.650580875781948,8197.0,5.544132566790666,0.0,0.0,6557.6,4508.35,4508.35,0.0,0.0
